Data File,Sample No.,7Li,9Be,23Na,24Mg,27Al,29Si,31P,33S,39K,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,85Rb,88Sr,89Y,90Zr,107Ag,111Cd,118Sn,121Sb,133Cs,137Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,181Ta,182W,197Au,205Tl,208Pb,209Bi,232Th,238U
160708-A,D567-2a    7/8/2016 11:09:09 AM,0.020652756,0.000632373,0.383473684,1.00913804,13.7588408,47.09175111,0.55699661,0.542941677,2.811989044,1.292083171,0.001584927,0.426561703,0.013999951,0.005488353,4.217572915,2.266403773,0.000873454,0.001705977,21.66116711,0.029429254,0.014133026,0.010371231,0.044017194,0.002358811,0.013221659,0.004055791,3.38446E-05,0.000905357,0.006127391,0.002811983,0.070184457,0.003358619,0.007585913,0.000869669,0.003712894,0.000822141,0.000149763,0.000487638,5.46552E-05,0.000397204,7.44784E-05,0.000199681,3.14085E-05,0.000218829,3.17601E-05,0.000328148,6.77008E-05,0.000525293,1.56642E-05,4.8684E-05,3.717983122,7.71997E-05,0.000906316,0.000545797
160708-A,D567-2b    7/8/2016 11:11:24 AM,0.020436485,0.000392853,0.35324919,1.009090781,13.65785488,47.12150712,0.542208861,0.542451423,2.575063987,1.338777599,0.001554853,0.408610106,0.01400339,0.002513987,4.098246839,1.904001327,0.00073466,0.000844038,22.30554253,0.024973367,0.014986087,0.010219588,0.04608645,0.00253036,0.014020135,0.003915805,2.3362E-05,0.00063295,0.005321338,0.002767436,0.069993658,0.00354586,0.007674332,0.000899809,0.003818787,0.000820953,0.000163346,0.000522299,6.26162E-05,0.000397886,8.297E-05,0.000256405,3.6106E-05,0.000262499,3.27016E-05,0.000333714,7.19328E-05,0.000497785,1.47773E-05,4.23426E-05,3.886336608,7.83551E-05,0.000924345,0.000568127
160708-A,D568-1a    7/8/2016 11:14:05 AM,0.009515188,0.001080449,0.095728096,0.489710608,9.393304986,27.05435836,0.113728145,0.146708917,0.354730446,0.604476563,0.001102039,0.279932273,0.023587047,0.003755076,0.025068474,3.926947388,0.000331565,0.000638354,16.40051538,0.201664709,0.024415209,0.001361123,0.012327028,0.051155123,0.017754774,0.003740277,0.002570287,0.000686652,0.030754891,9.00396E-05,0.021818703,0.004077396,0.009352381,0.001025778,0.004301109,0.00210316,0.000570723,0.005130737,0.001045951,0.006781892,0.001308742,0.003191215,0.000351285,0.001824388,0.000240815,0.000512935,0.000280552,0.001049193,6.215E-06,1.20888E-05,40.64397272,0.006975513,0.001933683,0.010393364
160708-A,D568-1b    7/8/2016 11:16:20 AM,0.008596392,0.001202561,0.095184419,0.511845282,9.707239026,28.30669786,0.106819309,0.151179752,0.387549614,0.617226565,0.00108783,0.284487183,0.022858581,0.004600981,0.026905825,4.380805068,0.000420356,0.000558053,13.00029701,0.188822699,0.024805368,0.001560182,0.012603909,0.050172997,0.017672163,0.003898706,0.002676651,0.000617411,0.030743734,9.87822E-05,0.022391626,0.004030673,0.009006391,0.001034715,0.004292063,0.002049134,0.000555874,0.005174546,0.000981347,0.006616803,0.001286165,0.003161508,0.00034472,0.00175437,0.000245985,0.000521918,0.000291411,0.001010363,9.02902E-06,1.27697E-05,41.96676703,0.006998605,0.001923259,0.010305425
160708-A,D568-2a    7/8/2016 11:19:01 AM,0.010835214,0.001093507,0.117019736,0.839637491,9.491595863,28.34942836,0.21102295,-0.109820441,0.494930194,1.381421715,0.001934606,0.504745253,0.032876179,0.004254221,0.032405871,4.354715078,0.000345148,0.000565677,13.18442762,0.19365996,0.029513441,0.00196122,0.023061585,0.076195341,0.030546055,0.004882672,0.003057348,0.001895026,0.035910123,0.000134574,0.056389364,0.009460746,0.019623133,0.002233461,0.009187579,0.003675208,0.000986,0.008405936,0.001560021,0.0099724,0.001917342,0.004560024,0.000500683,0.002503031,0.000337134,0.000981926,0.000587733,0.001568461,4.88991E-06,1.09422E-05,40.53325759,0.009955276,0.003893852,0.014175677
160708-A,D568-2b    7/8/2016 11:21:14 AM,0.010544187,0.001257442,0.143878486,0.810301023,9.867949233,29.58655869,0.200062561,0.357822757,0.585225942,1.390911676,0.001930672,0.495382523,0.032522526,0.003878746,0.018873506,4.226893619,0.000309844,0.000313318,10.65120619,0.157956941,0.030374167,0.00227071,0.027889813,0.076197543,0.030951049,0.004891021,0.002828928,0.001846639,0.035368683,0.000149275,0.071990822,0.009291913,0.019293082,0.002239068,0.009090962,0.003573852,0.000968557,0.008373883,0.001555257,0.010059101,0.001886674,0.004599816,0.000508957,0.0026113,0.000344278,0.000990852,0.000587672,0.001645827,5.30516E-06,1.15624E-05,41.06579049,0.009806828,0.0039477,0.014278531
160708-A,D569-1a    7/8/2016 11:23:56 AM,0.00343579,0.000159856,0.097040321,0.388809882,6.429676068,19.5943318,0.093006244,0.347895609,0.337135035,0.324253639,0.000619979,0.241736598,0.0062571,0.001702926,0.044073294,1.235562897,0.001004366,0.001675741,37.24672985,0.019745332,0.00113643,0.000821968,0.003006242,0.000690133,0.00496641,0.025352043,0.000372151,0.000574967,0.114000479,0.000122469,0.004409114,0.000447758,0.001393431,0.000140858,0.000556225,0.00012598,3.86254E-05,0.00016356,2.33336E-05,0.000137679,2.75821E-05,7.89259E-05,9.43528E-06,7.02294E-05,1.0359E-05,0.000106523,6.06961E-05,0.000316246,3.37896E-06,8.76874E-06,33.42511916,0.000218193,0.000424301,0.000214019
160708-A,D569-1b    7/8/2016 11:26:12 AM,0.002809162,6.26302E-05,0.083825205,0.343504593,6.218106514,18.30823429,0.104633511,0.393004536,0.319798622,0.251928501,0.000572646,0.228681996,0.005192152,0.001443035,0.017647997,1.130484569,0.000586943,0.001213638,39.10194955,0.019263983,0.001056588,0.000742919,0.004271477,0.000697484,0.004078633,0.025447473,0.000324436,0.000386878,0.10172305,0.00011032,0.010455325,0.000485748,0.001368334,0.000130417,0.000574692,0.000147069,3.87492E-05,0.000160142,2.46133E-05,0.000125375,2.54013E-05,6.03376E-05,9.94718E-06,6.68737E-05,7.12357E-06,9.66434E-05,5.10273E-05,0.000292184,1.73637E-06,1.88569E-05,33.31328447,0.000183158,0.000407267,0.00020117
160708-A,D569-2a    7/8/2016 11:28:52 AM,0.003174485,0.000247561,0.089792988,0.513385193,6.839781243,20.43727467,0.080304718,0.219368315,0.29624763,0.324924888,0.000869217,0.233228276,0.008351365,0.002298284,0.05120833,1.542483077,0.002500719,0.003950021,35.50831899,0.016954281,0.00106727,0.000773914,0.003415974,0.000895914,0.005231118,0.023317413,0.000361189,0.000544868,0.11419331,0.000121249,0.003658756,0.000691936,0.001684778,0.000182438,0.000678996,0.000164444,4.54221E-05,0.000174004,2.60627E-05,0.000168504,3.34701E-05,9.01537E-05,1.34169E-05,7.77567E-05,1.44077E-05,0.000134387,3.53516E-05,0.000313408,2.66478E-06,7.04733E-06,33.66625556,0.000247476,0.000507389,0.00020571
160708-A,D569-2b    7/8/2016 11:31:08 AM,0.002710503,0.000263169,0.050722682,0.50215585,5.895655183,17.98809227,0.061309419,0.15611567,0.153856934,0.186607404,0.000852475,0.213157213,0.005432032,0.002379777,0.01824879,1.517580206,0.0009524,0.002065063,41.96263222,0.015669585,0.000876451,0.000572473,0.002124679,0.000817296,0.004660769,0.021247428,0.000352936,0.000384289,0.106822191,0.000112723,0.001729766,0.000599678,0.001494484,0.000164921,0.000700854,0.000164181,3.48899E-05,0.000175917,2.40518E-05,0.000155128,2.81593E-05,7.34863E-05,1.06112E-05,7.09484E-05,1.10597E-05,0.000113497,2.73295E-05,0.000292788,3.02325E-06,4.13425E-06,31.11878703,0.000239379,0.000473422,0.000191184
