DataFile,SampleNo,7Li,9Be,23Na,24Mg,27Al,29Si,31P,33S,39K,43Ca,45Sc,47Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,85Rb,88Sr,89Y,90Zr,107Ag,111Cd,118Sn,121Sb,133Cs,137Ba,139La,140Ce,141Pr,146Nd,147Sm,153Eu,157Gd,159Tb,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,178Hf,181Ta,182W,197Au,205Tl,208Pb,209Bi,232Th,238U
160609-a,D160-2a    6/9/2016 1:05:14 PM,0.012576247,0.002948522,0.780227967,1.14936341,20.67582394,50.36233806,0.166539136,0.100497024,4.704001297,0.978056103,0.003058755,0.734334702,0.030482566,0.011373421,0.15607139,9.014135794,0.00186947,0.004687443,10.85100091,0.057090543,0.015502822,0.033037587,0.019123891,0.006926028,0.021946047,7.22E-05,0.000262581,0.000464549,0.001172609,0.008261427,0.038338787,0.006070601,0.011602777,0.001314009,0.004824273,0.00103274,0.0002026,0.000912379,0.000174165,0.001124995,0.000251861,0.000750931,0.00010434,0.000674013,0.000100941,0.000529574,0.000147947,0.000584765,1.28E-06,9.79E-05,0.018788545,0.001582296,0.001793199,0.005748684
160609-a,D160-2b    6/9/2016 1:07:54 PM,0.012920864,0.001156456,0.201956896,0.514102849,8.719215527,38.49554396,0.330649822,0.110365086,0.852655298,0.979202189,0.001096985,0.253385663,0.024597283,0.002464424,0.012349843,5.300143732,0.000799863,0.000970335,9.113777271,0.160092525,0.009425639,0.00374697,0.019765255,0.005826045,0.006298875,0.003494112,0.002711284,0.000691716,0.01040959,0.000354503,0.371025315,0.002490582,0.005398825,0.000690104,0.003023471,0.000707756,0.000147314,0.00076641,0.000117171,0.000793292,0.000152846,0.000385356,4.15E-05,0.000256508,3.38E-05,0.000165753,6.21E-05,0.000266982,7.87E-06,1.31E-05,34.45918785,0.002203241,0.00080234,0.001089572
160609-a,D161-1a    6/9/2016 1:10:10 PM,0.012137307,0.000726754,0.161515659,0.484170472,8.486801123,36.61895303,0.327544599,0.29657202,0.8453936,0.967622956,0.001071764,0.251699993,0.021815869,0.001932143,0.013447924,5.639454824,0.000869511,0.001053539,11.64672899,0.154440102,0.008827769,0.00355747,0.020226678,0.005390845,0.00616516,0.00345375,0.00258762,0.000616142,0.009726285,0.000317853,0.440171878,0.002483646,0.005235472,0.000676739,0.002989476,0.000637469,0.000134128,0.000697655,0.000122294,0.000759032,0.000143514,0.000358327,4.39E-05,0.000240609,0.000033146,0.000159741,6.01E-05,0.000233887,7.25E-06,1.62E-05,33.54611386,0.002102575,0.000758147,0.000999192
160609-a,D161-1b    6/9/2016 1:12:52 PM,0.011443155,0.000849008,0.151899008,0.486174356,8.022889928,38.12076128,0.3321358,0.506702669,0.786427804,0.945942254,0.000953241,0.346172776,0.014726896,0.001892556,0.018128341,4.491310534,0.000816683,0.000843405,8.457590039,0.215528677,0.009247567,0.003604958,0.03993286,0.005192921,0.005681238,0.00344395,0.002346914,0.000525096,0.010238712,0.000331863,1.112632189,0.002240638,0.005169643,0.000593528,0.002606026,0.000551317,0.000120166,0.000614336,0.000115612,0.000689284,0.000135231,0.00036518,4.08E-05,0.000236421,3.13E-05,0.000139173,6.37E-05,0.000324434,7.52E-06,7.91E-06,35.87624342,0.001423867,0.00064701,0.001266877
160609-a,D161-2a    6/9/2016 1:15:32 PM,0.011464526,0.001355922,0.140012293,0.495512718,8.180750134,35.4552837,0.400420307,0.552908117,0.690819243,0.947985007,0.000971003,0.359871518,0.014586439,0.001767071,0.020203423,4.428695289,0.000913825,0.001031882,10.2537448,0.214506225,0.009450528,0.003206235,0.063134524,0.005294679,0.005733328,0.003594667,0.002497724,0.000511137,0.00986534,0.000326347,1.404579137,0.002583557,0.005549552,0.000663151,0.00281205,0.000591478,0.000135308,0.000635156,0.000110221,0.000743952,0.000136782,0.00036013,4.29E-05,0.000244078,3.13E-05,0.000140286,0.000066058,0.000347464,7.36E-06,0.000009491,36.30053551,0.001393953,0.000687061,0.001176136
160609-a,D161-2b    6/9/2016 1:18:13 PM,0.002783765,0,0.441556129,0.384547799,6.552504311,28.66251975,0.001032351,0.199004593,0.69839848,0.82637277,0.000111928,0.583987267,5.66E-05,0.002238411,1.26119561,2.079239999,2.77E-05,0.000171606,11.90868424,2.813763091,1.27E-05,8.53E-05,0.000331427,3.69E-05,0.000243801,0.000183877,5.66E-05,3.82E-05,3.85E-06,2.19E-06,9.80E-05,1.07E-05,1.47E-05,1.81E-06,5.28E-06,3.01E-06,4.38E-07,5.19E-06,8.39E-07,3.86E-06,6.57E-07,2.12E-06,2.20E-07,1.30E-06,4.88E-07,9.56E-06,3.49E-06,0.000017109,8.23E-07,0.000005872,43.5805016,0.000109391,2.46E-06,9.73E-06
160609-a,D162-1a    6/9/2016 1:34:18 PM,0.01497945,0.000140883,0.327804509,0.724570152,9.806315205,38.4118831,1.257402637,0.215734523,1.05162049,1.579180055,0.001128857,0.371737224,0.06751176,0.013797175,0.041909857,3.650128483,0.000526588,0.000976099,8.37606923,0.489480401,0.001651059,0.004629566,0.025468215,0.00304344,0.016251262,0.003595446,0.000991612,0.000634772,0.032328722,0.000372508,0.06421806,0.003092797,0.004366953,0.000627239,0.002389104,0.000488824,0.000117359,0.000516952,7.77E-05,0.00048041,9.23E-05,0.000241001,3.14E-05,0.00018372,3.10E-05,0.000408037,6.83E-05,0.000966218,0.000002789,2.31E-05,33.42677901,0.00157073,0.000845542,0.000518156
160609-a,D162-1b    6/9/2016 1:36:31 PM,0.016074176,0.000185058,0.344334708,0.726276851,9.956886248,38.12896355,1.28605362,0.446426766,1.038512445,1.728095344,0.001288201,0.395555785,0.069783357,0.010134776,0.042746965,3.746788488,0.000532378,0.000869209,6.636717666,0.460421618,0.001915066,0.004447688,0.026407993,0.003039022,0.016766287,0.003806521,0.001049379,0.000624478,0.03177726,0.000440829,0.06502204,0.002927644,0.004361381,0.000632565,0.002322449,0.000472254,0.000116789,0.000486513,7.86E-05,0.00047462,9.16E-05,0.000245434,3.34E-05,0.000206397,2.81E-05,0.000438112,7.20E-05,0.00097076,3.04E-06,0.000022044,34.79099863,0.001688803,0.000862568,0.000522513
160609-a,D162-2a    6/9/2016 1:39:11 PM,0.014900952,0.000207603,0.321531707,0.741504328,9.65612027,37.41194777,1.269445362,0.242991586,1.027038827,1.680731681,0.001193041,0.411334633,0.014677141,0.015973556,0.045313376,3.896582733,0.00067244,0.001000556,8.943411065,0.498452156,0.00160202,0.004414319,0.021855165,0.002155949,0.016478211,0.003298134,0.001167138,0.000747941,0.031898767,0.000396345,0.039238829,0.002179094,0.00362973,0.000470165,0.001897553,0.000380214,0.00008333,0.000321522,5.29E-05,0.000340326,6.12E-05,0.000187102,2.27E-05,0.000145787,2.47E-05,0.000377989,7.26E-05,0.001043836,2.74E-06,2.04E-05,33.66720479,0.001721422,0.001001513,0.000474745
160609-a,D162-2b    6/9/2016 1:41:27 PM,0.014885759,0.000429659,0.340763053,0.75249477,9.863688909,38.36067488,1.193882928,0.383141372,1.042457751,1.681952531,0.001269967,0.437551696,0.015450055,0.009932231,0.045456412,3.696161966,0.000625115,0.0009701,6.964059729,0.458502087,0.001847047,0.004356029,0.022332286,0.002027503,0.020282171,0.003536904,0.001113232,0.000704683,0.031465612,0.000373367,0.039827696,0.001985981,0.003424757,0.00043394,0.001650132,0.000367411,7.26E-05,0.000296318,4.62E-05,0.000299679,6.46E-05,0.000172778,2.33E-05,0.000159514,2.30E-05,0.000410062,8.19E-05,0.001187449,2.18E-06,0.000027047,34.59362373,0.001854626,0.001055282,0.000519953
